strain,plate,T1,T2,C1,C2
wt,1,81,43,12,22
wt,2,64,53,12,12
wt,3,38,34,13,7
wt,4,40,49,8,17
wt,5,32,53,26,12
wt,6,36,54,18,15
che2,7,17,14,13,6
che2,8,27,16,10,12
che2,9,24,40,24,26
che2,10,38,30,36,21
che2,11,63,54,47,33
che2,12,31,38,32,46
che3,13,18,41,28,29
che3,14,31,30,26,25
che3,15,24,40,31,33
che3,16,34,48,35,25
che3,17,33,21,15,14
che3,18,24,51,32,41
che11,19,17,13,8,5
che11,20,26,16,14,15
che11,21,31,12,19,28
che11,22,29,20,19,16
che11,23,23,14,12,17
che11,24,22,21,17,8
che13,25,55,27,33,13
che13,26,48,37,48,18
che13,27,74,20,9,16
che13,28,67,38,45,24
che13,29,51,43,42,19
che13,30,79,57,40,31